## From Myers et al. Appl. Spectrosc., doi:10.1177/0003702820928358, 2020
wavenum,n,k
5997.694831,1.493006825,0.000320928
5997.212663,1.493003368,0.000321061
5996.730494,1.492999792,0.000321138
5996.248326,1.492996335,0.00032125
5995.766157,1.492992878,0.000321362
5995.283989,1.492989302,0.000321476
5994.80182,1.492985845,0.000321579
5994.319652,1.492982268,0.000321678
5993.837483,1.492978811,0.000321792
5993.355315,1.492975235,0.000321904
5992.873146,1.492971778,0.000322016
5992.390978,1.492968202,0.00032213
5991.908809,1.492964745,0.000322233
5991.42664,1.492961168,0.000322321
5990.944472,1.492957711,0.00032242
5990.462303,1.492954135,0.000322534
5989.980135,1.492950559,0.000322646
5989.497966,1.492947102,0.000322759
5989.015798,1.492943525,0.000322873
5988.533629,1.492939949,0.000322977
5988.051461,1.492936373,0.000323076
5987.569292,1.492932916,0.000323191
5987.087124,1.492929459,0.000323304
5986.604955,1.492925882,0.000323417
5986.122786,1.492922306,0.000323532
5985.640618,1.492918849,0.000323635
5985.158449,1.492915273,0.000323723
5984.676281,1.492911696,0.000323823
5984.194112,1.49290812,0.000323938
5983.711944,1.492904663,0.000324051
5983.229775,1.492901206,0.000324164
5982.747607,1.49289763,0.000324279
5982.265438,1.492894054,0.000324383
5981.78327,1.492890596,0.000324484
5981.301101,1.49288702,0.000324599
5980.818933,1.492883444,0.000324713
5980.336764,1.492879868,0.000324826
5979.854595,1.492876411,0.000324942
5979.372427,1.492872834,0.000325046
5978.890258,1.492869258,0.000325135
5978.40809,1.492865682,0.000325235
5977.925921,1.492862105,0.00032535
5977.443753,1.492858529,0.000325464
5976.961584,1.492854953,0.000325579
5976.479416,1.492851377,0.000325694
5975.997247,1.49284792,0.000325799
5975.515079,1.492844343,0.0003259
5975.03291,1.492840767,0.000326016
5974.550742,1.492837191,0.00032613
5974.068573,1.492833614,0.000326245
5973.586404,1.492830038,0.000326361
5973.104236,1.492826462,0.000326465
5972.622067,1.492822886,0.000326555
5972.139899,1.492819428,0.000326656
5971.65773,1.492815852,0.000326772
5971.175562,1.492812276,0.000326887
5970.693393,1.4928087,0.000327001
5970.211225,1.492805123,0.000327118
5969.729056,1.492801547,0.000327223
5969.246888,1.492797971,0.000327325
5968.764719,1.492794395,0.000327441
5968.282551,1.492790818,0.000327557
5967.800382,1.492787242,0.000327672
5967.318213,1.492783666,0.000327789
5966.836045,1.492780089,0.000327894
5966.353876,1.492776513,0.000327984
5965.871708,1.492772937,0.000328085
5965.389539,1.492769361,0.000328202
5964.907371,1.492765784,0.000328318
5964.425202,1.492762208,0.000328433
5963.943034,1.492758632,0.00032855
5963.460865,1.492755055,0.000328656
5962.978697,1.492751479,0.000328759
5962.496528,1.492747903,0.000328876
5962.014359,1.492744207,0.000328992
5961.532191,1.492740631,0.000329108
5961.050022,1.492737055,0.000329225
5960.567854,1.492733359,0.000329331
5960.085685,1.492729783,0.000329422
5959.603517,1.492726207,0.000329524
5959.121348,1.492722631,0.000329642
5958.63918,1.492719054,0.000329758
5958.157011,1.492715478,0.000329874
5957.674843,1.492711902,0.000329992
5957.192674,1.492708325,0.000330099
5956.710506,1.492704749,0.000330202
5956.228337,1.492701054,0.00033032
5955.746168,1.492697477,0.000330437
5955.264,1.492693901,0.000330553
5954.781831,1.492690325,0.000330671
5954.299663,1.492686629,0.000330778
5953.817494,1.492683053,0.000330869
5953.335326,1.492679477,0.000330972
5952.853157,1.492675781,0.00033109
5952.370989,1.492672086,0.000331207
5951.88882,1.49266851,0.000331324
5951.406652,1.492664933,0.000331443
5950.924483,1.492661357,0.00033155
5950.442315,1.492657661,0.000331654
5949.960146,1.492654085,0.000331773
5949.477977,1.492650509,0.00033189
5948.995809,1.492646813,0.000332007
5948.51364,1.492643118,0.000332126
5948.031472,1.492639542,0.000332234
5947.549303,1.492635965,0.000332325
5947.067135,1.492632389,0.000332429
5946.584966,1.492628694,0.000332548
5946.102798,1.492625117,0.000332666
5945.620629,1.492621541,0.000332783
5945.138461,1.492617846,0.000332903
5944.656292,1.492614269,0.000333011
5944.174123,1.492610574,0.000333115
5943.691955,1.492606998,0.000333235
5943.209786,1.492603302,0.000333353
5942.727618,1.492599726,0.000333471
5942.245449,1.49259603,0.000333591
5941.763281,1.492592454,0.000333698
5941.281112,1.492588759,0.000333791
5940.798944,1.492585182,0.000333895
5940.316775,1.492581487,0.000334015
5939.834607,1.492577791,0.000334133
5939.352438,1.492574215,0.000334252
5938.87027,1.492570519,0.000334372
5938.388101,1.492566824,0.00033448
5937.905932,1.492563129,0.000334585
5937.423764,1.492559552,0.000334706
5936.941595,1.492555976,0.000334825
5936.459427,1.49255228,0.000334943
5935.977258,1.492548585,0.000335064
5935.49509,1.492545009,0.000335173
5935.012921,1.492541313,0.000335266
5934.530753,1.492537618,0.00033537
5934.048584,1.492533922,0.000335491
5933.566416,1.492530346,0.00033561
5933.084247,1.49252665,0.000335729
5932.602079,1.492522955,0.00033585
5932.11991,1.49251926,0.00033596
5931.637741,1.492515683,0.000336065
5931.155573,1.492511988,0.000336187
5930.673404,1.492508292,0.000336306
5930.191236,1.492504597,0.000336426
5929.709067,1.49250102,0.000336547
5929.226899,1.492497325,0.000336656
5928.74473,1.49249363,0.00033675
5928.262562,1.492489934,0.000336855
5927.780393,1.492486358,0.000336977
5927.298225,1.492482662,0.000337097
5926.816056,1.492478967,0.000337217
5926.333888,1.492475271,0.000337338
5925.851719,1.492471576,0.000337448
5925.36955,1.49246788,0.000337554
5924.887382,1.492464185,0.000337676
5924.405213,1.492460489,0.000337797
5923.923045,1.492456794,0.000337917
5923.440876,1.492453098,0.000338039
5922.958708,1.492449403,0.000338149
5922.476539,1.492445707,0.000338243
5921.994371,1.492442131,0.000338349
5921.512202,1.492438436,0.000338472
5921.030034,1.49243474,0.000338592
